                  20                 160
                   1                  11        0.4284198803
                   1                  12        0.2535802997
                   1                  13       -0.0309460355
                   1                  14       -0.2223774381
                   1                  15       -0.8698935838
                   1                  16       -0.2344179299
                   1                  17       -0.0389144285
                   1                  18       -0.1273191449
                   1                  19        0.0593422537
                   1                  20        0.1469889089
                   1                  21       -0.0630319439
                   1                  22        0.0800401663
                   1                  23        0.0967536243
                   1                  24        0.0823989189
                   1                  25        0.0469895995
                   1                  26       -0.0750681356
                   1                  27       -0.0825004443
                   1                  28       -0.0159351912
                   1                  29       -0.0391425889
                   1                  30       -0.0738454452
                   1                  31       -0.1347029150
                   1                  32       -0.0467590960
                   1                  33        0.0616591280
                   1                  34        0.0081321517
                   1                  35        0.0323490151
                   1                  36        0.0203847712
                   1                  37       -0.0796813987
                   1                  38        0.0100420572
                   1                  39        0.0784144674
                   1                  40        0.0561392344
                   1                  41        0.1380420554
                   1                  42        0.0759906801
                   1                  43       -0.2708676449
                   1                  44       -0.1089724834
                   1                  45       -0.3641495774
                   1                  46        0.0262367894
                   1                  47        0.0404165873
                   1                  48       -0.0644322876
                   1                  49        0.0904759866
                   1                  50       -0.1384268814
                   1                  51       -0.0168955391
                   1                  52        0.2038160250
                   1                  53        0.3486386228
                   1                  54        0.9261139462
                   1                  55        2.2677520324
                   1                  56        0.8805287036
                   1                  57        2.3768059824
                   1                  58        0.7445978915
                   1                  59        0.3379436977
                   1                  60        0.0862814107
                   1                  61        0.5000981230
                   1                  62        0.3084149932
                   1                  63       -0.0554602640
                   1                  64        0.0440144657
                   1                  65        0.2369244084
                   1                  66        0.7190004631
                   1                  67        0.3112911641
                   1                  68        0.6333416986
                   1                  69        1.3075503548
                   1                  70        0.6489812051
                   1                  71        1.3809908857
                   1                  72        2.1039550645
                   1                  73        0.2010667448
                   1                  74        0.1728699172
                   1                  75       -1.8086014588
                   1                  76        1.2859211954
                   1                  77        5.0172557836
                   1                  78        3.7705816584
                   1                  79        0.0805930472
                   1                  80        2.5839695913
