                  20                   6                 160
                   0                   2                 144        0.2559098950
                   0                   2                 145        0.2795594809
                   0                   2                 146        0.2986700421
                   0                   2                 147        0.3084816238
                   0                   2                 148        0.3058130051
                   0                   2                 149        0.3333145820
                   0                   2                 150        0.3274870131
                   0                   2                 151        0.3083056148
                   0                   2                 152        0.3374803131
                   0                   2                 153        0.3867292275
                   0                   2                 154        0.4202429987
                   0                   2                 155        0.4242279959
                   0                   2                 156        0.4922136617
                   0                   2                 157        0.5310111432
                   0                   2                 158        0.5673666250
                   0                   2                 159        0.5786554680
                   0                   3                   0        0.5898370279
                   0                   3                   1        0.5711114262
                   0                   3                   2        0.5196789877
                   0                   3                   3        0.4892228545
                   0                   3                   4        0.4847812804
                   0                   3                   5        0.4312390109
                   0                   3                   6        0.3934569321
                   0                   3                   7        0.4059348757
                   0                   3                   8        0.3783074793
                   0                   3                   9        0.3855266767
                   0                   3                  10        0.3535805220
                   0                   3                  11        0.3206567347
                   0                   3                  12        0.3125461969
                   0                   3                  13        0.3031288433
                   0                   3                  14        0.3068953961
                   0                   3                  15        0.2917453289
                   0                   3                  16        0.3122494988
                   0                   3                  17        0.2968476656
                   0                   3                  18        0.2933605584
                   0                   3                  19        0.2696671692
                   0                   3                  20        0.2773390830
                   0                   3                  21        0.2550982595
                   0                   3                  22        0.2526196007
                   0                   3                  23        0.2432369657
                   0                   3                  24        0.2189669353
                   0                   3                  25        0.2058677734
                   0                   3                  26        0.1847369290
                   0                   3                  27        0.1777787077
                   0                   3                  28        0.1661847343
                   0                   3                  29        0.1461769303
                   0                   3                  30        0.1224052882
                   0                   3                  31        0.1339605747
                   0                   3                  32        0.1301559236
                   0                   3                  33        0.1202391165
                   0                   3                  34        0.1057824029
                   0                   3                  35        0.0953165577
                   0                   3                  36        0.0985432048
                   0                   3                  37        0.0923621086
                   0                   3                  38        0.0999020639
                   0                   3                  39        0.0915159019
                   0                   3                  40        0.0972379682
                   0                   3                  41        0.0898992559
                   0                   3                  42        0.0742922106
